"Round","Date","Gender","District","Ward","Age","Ethnicity","Ethnicity_Other","Occupation","Occupation_Other","Do_you_have_any_health_problem","A0JS","A1JS","B0JS","C0JS","C1JS","D0JS","E0JS","Month"
1,"2015-07-12","Male","Rasuwa",7,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-10","Male","Rasuwa",7,"55+","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Very little",7
1,"2015-07-17","Male","Rasuwa",9,"25 to 39","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Neutral","Not at all","How to get healthcare psychological support","Completely yes","Very little",7
1,"2015-07-17","Male","Rasuwa",7,"40 to 54","Tamang",NA,"Other","not mentioned","No difficulty.","Neutral","Long term shelter / housing","Very little","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-17","Male","Rasuwa",1,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Education","Very little","Not at all","News about government decision","Not at all","Very little",7
1,"2015-07-17","Male","Rasuwa",7,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Neutral","Long term shelter / housing","Very little","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-17","Female","Rasuwa",1,"Refused","Brahmin",NA,"Other","Not mentioned","Yes, some difficulty.","Very little","Education","Neutral","Not at all","How to get healthcare psychological support","Not at all","Completely yes",7
1,"2015-07-17","Female","Rasuwa",7,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Neutral","Long term shelter / housing","Not at all","Very little","How to get healthcare psychological support","Not at all","Very little",7
1,"2015-07-17","Female","Rasuwa",7,"15 to 24","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Very little","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-17","Male","Rasuwa",7,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Neutral","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-17","Male","Rasuwa",8,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Mostly yes","Not at all","News about government decision","Very little","Not at all",7
1,"2015-07-17","Female","Rasuwa",7,"55+","Tamang",NA,"Other","not mentioned","Yes, a lot of difficulty.","Not at all","Healthcare","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-17","Female","Rasuwa",1,"15 to 24","Brahmin",NA,"Other","Not mentioned","No difficulty.","Not at all","Education","Completely yes","Don't know",NA,"Completely yes","Not at all",7
1,"2015-07-17","Male","Rasuwa",7,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Refused",NA,"Very little","Very little","News about government decision","Very little","Not at all",7
1,"2015-07-17","Male","Rasuwa",7,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Neutral","Long term shelter / housing","Not at all","Not at all","Finding missing people","Not at all","Not at all",7
1,"2015-07-18","Male","Rasuwa",9,"40 to 54","Brahmin",NA,"NGO Worker / Business",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Completely yes","refused",7
1,"2015-07-18","Male","Rasuwa",1,"25 to 39","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Completely yes","Not at all","News about government decision","Completely yes","Neutral",7
1,"2015-07-17","Female","Rasuwa",7,"55+","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Long term shelter / housing","Very little","Very little","News about government decision","Not at all","Very little",7
1,"2015-07-18","Male","Rasuwa",8,"25 to 39","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Financial support","Completely yes","Not at all","News about government decision","Completely yes","Completely yes",7
1,"2015-07-17","Female","Rasuwa",6,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","How to get healthcare psychological support","Not at all","Not at all",7
1,"2015-07-17","Male","Rasuwa",7,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Not at all","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-18","Male","Rasuwa",8,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Very little","Not at all",7
1,"2015-07-15","Female","Rasuwa",4,"25 to 39","Dalit",NA,"Other","Dalit","No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-16","Female","Sindhupalchowk",7,"25 to 39","Chhetri",NA,"Other","housewife","Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Don't know","Completely yes",7
1,"2015-07-25","Female","Sindhupalchowk",1,"55+","Tamang",NA,"Other","grihini","Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","How to register for access support","Don't know","Don't know",7
1,"2015-07-15","Male","Sindhupalchowk",8,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Completely yes",7
1,"2015-07-17","Female","Sindhupalchowk",3,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-17","Female","Sindhupalchowk",1,"55+","Tamang",NA,"Other","grihini","Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","How to register for access support","Don't know","Don't know",7
1,"2015-07-17","Male","Sindhupalchowk",1,"40 to 54","Janajati",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-15","Male","Sindhupalchowk",8,"15 to 24","Tamang",NA,"Other","business","No difficulty.","Completely yes",NA,"Not at all","Not at all","News about government decision","Not at all","Completely yes",7
1,"2015-07-16","Female","Sindhupalchowk",9,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Very little","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-11","Female","Sindhupalchowk",6,"25 to 39","Dalit",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","Finding missing people","Not at all","Completely yes",7
1,"2015-07-19","Female","Sindhupalchowk",2,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Not at all","Neutral",7
1,"2015-07-13","Female","Sindhupalchowk",5,"40 to 54","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Education","Completely yes","Not at all","Finding missing people","Don't know","Completely yes",7
1,"2015-07-16","Female","Sindhupalchowk",9,"40 to 54","Other","not mentioned","Other","not mentioned","Yes, a lot of difficulty.","Very little","Short term shelter / tent shelter","Very little","Not at all","Finding missing people","Not at all","Not at all",7
1,"2015-07-13","Male","Sindhupalchowk",8,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Completely yes","Not at all","News about government decision","Completely yes","Completely yes",7
1,"2015-07-17","Male","Sindhupalchowk",2,"Refused","Brahmin",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Very little","Don't know",NA,"Don't know","Completely yes",7
1,"2015-07-17","Female","Sindhupalchowk",6,"55+","Chhetri",NA,"Other","housewife","Yes, a lot of difficulty.","Not at all","Healthcare","Don't know","Not at all","Other","Don't know","Completely yes",7
1,"2015-07-17","Male","Sindhupalchowk",1,"15 to 24","Other","not mentioned","NGO Worker / Business",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Completely yes",NA,"Refused","Very little",7
1,"2015-07-12","Male","Sindhupalchowk",2,"25 to 39","Newar",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Not at all","Very little","News about government decision","Not at all","Very little",7
1,"2015-07-16","Male","Sindhupalchowk",7,"25 to 39","Chhetri",NA,"Other","Not mentioned","Yes, some difficulty.","Not at all","Long term shelter / housing","Very little","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-16","Female","Sindhupalchowk",7,"25 to 39","Brahmin",NA,"Other","Not mentioned","Yes, a lot of difficulty.","Not at all","Toilets sanitation","Very little","Not at all","News about government decision","Don't know","Completely yes",7
1,"2015-07-17","Female","Sindhupalchowk",9,"55+","Chhetri",NA,"Other","housewife","Yes, a lot of difficulty.","Not at all","Healthcare","Not at all","Not at all","How to get healthcare psychological support","Don't know","Completely yes",7
1,"2015-07-14","Male","Sindhupalchowk",4,"40 to 54","Newar",NA,"Other","bussiness","No difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","News about government decision","Not at all","Don't know",7
1,"2015-07-17","Male","Sindhupalchowk",3,"40 to 54","Other","Not Available","Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-28","Male","Sindhupalchowk",2,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-15","Female","Sindhupalchowk",2,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Neutral","News about government decision","Not at all","Not at all",7
1,"2015-07-17","Female","Sindhupalchowk",9,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-17","Female","Sindhupalchowk",3,"40 to 54","Other","Not available","Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-12","Female","Sindhupalchowk",7,"40 to 54","Tamang",NA,"Other","business","Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Completely yes","Completely yes",7
1,"2015-07-16","Male","Sindhupalchowk",6,"15 to 24","Other","Not mentioned","NGO Worker / Business",NA,"Yes, some difficulty.","Very little","Other","Very little","Completely yes",NA,"Completely yes","Not at all",7
1,"2015-07-17","Male","Sindhupalchowk",1,"40 to 54","Janajati",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-13","Male","Sindhupalchowk",2,"55+","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Long term shelter / housing","Not at all","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-13","Male","Sindhupalchowk",6,"55+","Janajati",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-15","Female","Sindhupalchowk",2,"55+","Janajati",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Neutral","Neutral",7
1,"2015-07-15","Male","Sindhupalchowk",6,"25 to 39","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Not at all","Long term shelter / housing","Very little","Completely yes",NA,"Not at all","Very little",7
1,"2015-07-16","Female","Sindhupalchowk",7,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-13","Female","Sindhupalchowk",6,"40 to 54","Janajati",NA,"Other","health care(swastha sebam sewika)","No difficulty.","Completely yes",NA,"Completely yes","Not at all","News about government decision","Completely yes","Completely yes",7
1,"2015-07-13","Female","Sindhupalchowk",2,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Very little","Not at all","News about government decision","Not at all","Very little",7
1,"2015-07-05","Female","Sindhupalchowk",6,"25 to 39","Dalit",NA,"Other","house wife","Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","How to get healthcare psychological support","Don't know","Completely yes",7
1,"2015-07-13","Male","Sindhupalchowk",2,"25 to 39","Newar",NA,"Other","journalist","Yes, some difficulty.","Very little","Long term shelter / housing","Not at all","Completely yes",NA,"Not at all","Very little",7
1,"2015-07-14","Female","Sindhupalchowk",8,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Not at all","Completely yes",NA,"Very little","Not at all",7
1,"2015-07-14","Male","Sindhupalchowk",7,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-13","Female","Sindhupalchowk",6,"15 to 24","Janajati",NA,"Other","Student","No difficulty.","Not at all","Education","Not at all","Completely yes",NA,"Not at all","Don't know",7
1,"2015-07-13","Male","Sindhupalchowk",2,"40 to 54","Newar",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Very little","Financial support","Not at all","Very little","News about government decision","Very little","Very little",7
1,"2015-07-15","Female","Sindhupalchowk",6,"40 to 54","Other","Not mentioned","Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","How to get shelter materials","Not at all","Don't know",7
1,"2015-07-17","Female","Sindhupalchowk",3,"55+","Dalit",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-13","Female","Sindhupalchowk",2,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-13","Male","Sindhupalchowk",2,"40 to 54","Newar",NA,"Other","business","No difficulty.","Not at all","Long term shelter / housing","Very little","Very little","How to get shelter materials","Not at all","Very little",7
1,"2015-07-13","Female","Sindhupalchowk",6,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Healthcare","Not at all","Don't know",NA,"Not at all","Not at all",7
1,"2015-07-15","Male","Sindhupalchowk",6,"25 to 39","Other","Not mentioned","Other","Not mentioned","Yes, some difficulty.","Not at all","Other","Very little","Very little","News about government decision","Not at all","Don't know",7
1,"2015-07-13","Male","Sindhupalchowk",6,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Neutral","Short term shelter / tent shelter","Not at all","Completely yes",NA,"Not at all","Completely yes",7
1,"2015-07-14","Male","Sindhupalchowk",4,"25 to 39","Newar",NA,"Other","business","Yes, some difficulty.","Not at all","Clean water","Not at all","Very little","How to get shelter materials","Very little","Very little",7
1,"2015-07-13","Male","Sindhupalchowk",2,"40 to 54","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Very little","Other","Very little","Very little","How to get shelter materials","Very little","Very little",7
1,"2015-07-17","Male","Sindhupalchowk",3,"25 to 39","Dalit",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Not at all","Neutral",7
1,"2015-07-11","Male","Sindhupalchowk",6,"40 to 54","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"Yes, a lot of difficulty.","Not at all","Healthcare","Not at all","Not at all","Finding missing people","Completely yes","Completely yes",7
1,"2015-07-14","Female","Sindhupalchowk",4,"25 to 39","Newar",NA,"Other","housewife","Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Don't know","Don't know",7
1,"2015-07-13","Female","Sindhupalchowk",4,"25 to 39","Janajati",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Not at all","Education","Not at all","Not at all","News about government decision","Neutral","Neutral",7
1,"2015-07-17","Male","Sindhupalchowk",3,"15 to 24","Other","Giri","Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Neutral","News about government decision","Not at all","Not at all",7
1,"2015-07-11","Male","Sindhupalchowk",6,"40 to 54","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"Yes, a lot of difficulty.","Not at all","Toilets sanitation","Completely yes","Not at all","How to get healthcare psychological support","Not at all","Completely yes",7
1,"2015-07-14","Female","Sindhupalchowk",4,"55+","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Long term shelter / housing","Not at all","Not at all","How to get shelter materials","Not at all","Not at all",7
1,"2015-07-14","Male","Sindhupalchowk",1,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Neutral","Neutral","News about government decision","Neutral","Not at all",7
1,"2015-07-14","Male","Sindhupalchowk",5,"25 to 39","Newar",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Not at all","Very little","How to get shelter materials","Not at all","Not at all",7
1,"2015-07-11","Male","Sindhupalchowk",6,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Toilets sanitation","Very little","Not at all","News about government decision","Very little","Completely yes",7
1,"2015-07-14","Female","Sindhupalchowk",1,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Neutral","News about government decision","Not at all","Not at all",7
1,"2015-07-14","Male","Sindhupalchowk",4,"40 to 54","Tamang",NA,"NGO Worker / Business",NA,"No difficulty.","Very little","Long term shelter / housing","Not at all","Completely yes",NA,"Very little","Not at all",7
1,"2015-07-13","Female","Sindhupalchowk",2,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Not at all","Very little",7
1,"2015-07-06","Female","Sindhupalchowk",3,"15 to 24","Other","Giri","Other","Student","No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Completely yes",NA,"Not at all","Not at all",7
1,"2015-07-11","Female","Sindhupalchowk",6,"55+","Chhetri",NA,"Other","Grihini","Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Don't know","Not at all","News about government decision","Don't know","Completely yes",7
1,"2015-07-14","Female","Sindhupalchowk",4,"40 to 54","Tamang",NA,"Other","Byapari","No difficulty.","Very little","Long term shelter / housing","Not at all","Very little","News about government decision","Very little","Very little",7
1,"2015-07-14","Male","Sindhupalchowk",1,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Financial support","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-16","Male","Sindhupalchowk",6,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Neutral","Completely yes",NA,"Neutral","Completely yes",7
1,"2015-07-16","Female","Sindhupalchowk",3,"25 to 39","Other","Giri","Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Neutral","Not at all",7
1,"2015-07-14","Male","Sindhupalchowk",4,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-17","Male","Sindhupalchowk",2,"15 to 24","Brahmin",NA,"Other","Student","No difficulty.","Neutral","Long term shelter / housing","Not at all","Very little","News about government decision","Completely yes","Neutral",7
1,"2015-07-14","Female","Sindhupalchowk",4,"55+","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Long term shelter / housing","Not at all","Not at all","News about government decision","Very little","Not at all",7
1,"2015-07-14","Male","Sindhupalchowk",1,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Financial support","Not at all","Not at all","News about government decision","Not at all","Don't know",7
1,"2015-07-17","Female","Sindhupalchowk",2,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Neutral",7
1,"2015-07-05","Female","Sindhupalchowk",9,"25 to 39","Tamang",NA,"Other","not available","No difficulty.","Very little","Long term shelter / housing","Very little","Very little","How to get shelter materials","Very little","Very little",7
1,"2015-07-16","Male","Sindhupalchowk",3,"25 to 39","Other","Giri","Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Not at all","Not at all",7
1,"2015-07-14","Female","Sindhupalchowk",1,"55+","Chhetri",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Not at all","Not at all",7
1,"2015-07-16","Female","Sindhupalchowk",9,"Don't know","Other","not available","Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Very little",7
1,"2015-07-16","Male","Sindhupalchowk",7,"40 to 54","Janajati",NA,"Other","Banking (surakshya)","No difficulty.","Not at all","Other","Not at all","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-15","Male","Sindhupalchowk",9,"55+","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Very little","Very little",7
1,"2015-07-14","Female","Sindhupalchowk",7,"55+","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Long term shelter / housing","Very little","Not at all","News about government decision","Not at all","Very little",7
1,"2015-07-15","Male","Sindhupalchowk",2,"25 to 39","Janajati",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Not at all","Neutral",7
1,"2015-07-15","Male","Sindhupalchowk",9,"40 to 54","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Not at all","Very little",7
1,"2015-07-16","Male","Sindhupalchowk",7,"25 to 39","Brahmin",NA,"Other","Bima company","No difficulty.","Very little","Long term shelter / housing","Very little","Completely yes",NA,"Neutral","Neutral",7
1,"2015-07-14","Female","Sindhupalchowk",7,"40 to 54","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Male","Sindhupalchowk",9,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","News about government decision","Not at all","Very little",7
1,"2015-07-15","Male","Sindhupalchowk",7,"40 to 54","Chhetri",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Very little","Long term shelter / housing","Not at all","Very little","News about government decision","Mostly yes","Neutral",7
1,"2015-07-16","Female","Sindhupalchowk",7,"25 to 39","Brahmin",NA,"NGO Worker / Business",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Not at all","Very little","News about government decision","Very little","Not at all",7
1,"2015-07-14","Female","Sindhupalchowk",7,"55+","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Refused",NA,"Don't know","Very little",7
1,"2015-07-15","Female","Sindhupalchowk",6,"25 to 39","Janajati",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Other","Not at all","Very little","News about government decision","Mostly yes","Neutral",7
1,"2015-07-15","Male","Sindhupalchowk",7,"55+","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","Other","Not at all","Neutral",7
1,"2015-07-15","Female","Sindhupalchowk",7,"40 to 54","Dalit",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-15","Female","Sindhupalchowk",7,"40 to 54","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Neutral","Other","Neutral","Completely yes",NA,"Mostly yes","Neutral",7
1,"2015-07-14","Male","Sindhupalchowk",7,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Neutral","Don't know",7
1,"2015-07-14","Male","Sindhupalchowk",7,"40 to 54","Tamang",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Neutral","Long term shelter / housing","Very little","Neutral","News about government decision","Very little","Completely yes",7
1,"2015-07-17","Female","Sindhupalchowk",2,"40 to 54","Dalit",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Completely yes","Neutral",7
1,"2015-07-17","Male","Sindhupalchowk",2,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Neutral","News about government decision","Not at all","Completely yes",7
1,"2015-07-17","Male","Sindhupalchowk",2,"25 to 39","Chhetri",NA,"NGO Worker / Business",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Completely yes",NA,"Not at all","Completely yes",7
1,"2015-07-18","Male","Sindhuli",1,"55+","Dalit",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Neutral","Short term shelter / tent shelter","Very little","Not at all","How to register for access support","Neutral","Neutral",7
1,"2015-07-21","Male","Sindhuli",8,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Completely yes",NA,"Mostly yes","Completely yes",7
1,"2015-07-23","Female","Sindhuli",9,"25 to 39","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Very little","Very little","How to register for access support","Completely yes","Don't know",7
1,"2015-07-23","Male","Sindhuli",9,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Completely yes","Completely yes",NA,"Completely yes","Completely yes",7
1,"2015-07-20","Male","Sindhuli",6,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Very little","Very little","News about government decision","Very little","Completely yes",7
1,"2015-07-20","Male","Sindhuli",6,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Completely yes","Completely yes",NA,"Completely yes","Completely yes",7
1,"2015-07-20","Female","Sindhuli",6,"55+","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Very little","Not at all","How to register for access support","Very little","Completely yes",7
1,"2015-07-20","Male","Sindhuli",6,"40 to 54","Tamang",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Completely yes","Completely yes",NA,"Completely yes","Completely yes",7
1,"2015-07-19","Male","Sindhuli",5,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Very little","Very little","How to register for access support","Very little","Don't know",7
1,"2015-07-19","Male","Sindhuli",5,"40 to 54","Tamang",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Completely yes","Very little","How to get shelter materials","Very little","Completely yes",7
