District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1JAN,B2JAN,C0JS,C1JS,C2JS,D0JS,D1JS,D2JS,E0JS,E1JS,E2JS,F0JAN,F1JAN,G0JAN,G1JAN,G2JAN,I0JAN,J0JAN,J1JAN,J2JAN,L0JAN,L1JAN,L2JAN,M0JAN,M1JAN,M2JAN
Kathmandu,Ichangu_Naraya,8,40-54,male,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,5 _ Completely yes        ,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Ichangu_Naraya,8,15-24,male,Brahmin,,Others,student,No difficulty ,4_ Mostly yes,,,,3 _ Neutral          ,Reconstruction process taking too long                                   ,Relief distributed based on distance from road ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Ichangu_Naraya,8,55+,female,Newar,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,5 _ Completely yes         ,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Ichangu_Naraya,8,55+,female,Newar,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,5 _ Completely yes         ,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Goldhunga,5,25-39,female,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,2 _ Somewhat yes           ,Safety at school (due to structure)      ,Health care,4-Mostly yes,4 _ Not very much        ,,1-Completely yes,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,Reconstruction advice/training             ,Repair/reconstruction of community buildings        
Kathmandu,Bajrayogini,8,55+,male,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Financial support,Long-term shelter (housing)                ,Livelihoods,2 _ Not very much           ,Was promised relief but never received           ,Government plans unclear               ,4_Mostly yes,,,2 _ Not very much           ,Was promised relief but never received           ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,Based on caste system     ,Based on political parties                 ,4-Mostly yes,,4 _ Not very much        ,,,1 _ Not at all        ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Availability of financial support                                      ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Ramkot,9,40-54,male,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,2 _ Not very much           ,Government plans unclear               ,Reconstruction process taking too long                                   ,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Ramkot,9,40-54,female,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,3 _ Neutral          ,Renters excluded from distribution                ,Reconstruction process taking too long                                   ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,4-Mostly yes,4 _ Not very much        ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Ramkot,9,15-24,male,Brahmin,,Others,student,No difficulty ,4_ Mostly yes,,,,3 _ Neutral          ,Reconstruction process taking too long                                   ,Relief distributed based on distance from road ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Ramkot,9,55+,female,Newar,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,5 _ Completely yes         ,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Bajrayogini,8,25-39,male,Chhetri,,NGO worker/Business,,No difficulty ,1 _ Not at all        ,Housing inspections,Healthcare,Psychosocial counseling,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,5 _ Not at all         ,,2-Somewhat yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Jhormahankal,5,25-39,female,Brahmin,,Farmer/laborer,,No difficulty ,3 _ Neutral ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,3 _ Neutral          ,Reconstruction process taking too long                                   ,Do not trust government                     ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,House/Shelter will not protect against cold   ,4 _ Not very much        ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Jhormahankal,5,40-54,male,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,4-Mostly yes,Don't Know,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Bajrayogini,8,25-39,male,Brahmin,,Others,student,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,2 _ Not very much           ,Was promised relief but never received           ,Government plans unclear               ,4_Mostly yes,,,2 _ Not very much           ,Was promised relief but never received           ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,Based on caste system     ,Based on political parties                 ,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,5 _ Not at all         ,,1-Completely yes,1-Completely yes        ,Government loan         ,Availability of financial support                                      ,4 _ Somewhat yes           ,,
Kathmandu,Jhormahankal,5,25-39,male,Others,Bidari,Farmer/laborer,,No difficulty ,3 _ Neutral ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,Based on distance from the main road            ,"First come, first served                      ",3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Ramkot,9,40-54,female,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Dharmasthali,1,25-39,female,Newar,,Skilled worker (i.e. carpenter),,"Yes, some difficulty ",1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Livelihoods,2 _ Not very much           ,Was promised relief but never received           ,Relief distributed based on political parties     ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,4 _ Not very much        ,,,1 _ Not at all        ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,News on government decisions            ,Repair/reconstruction of schools         
Kathmandu,Goldhunga,5,40-54,male,Newar,,Farmer/laborer,,"Yes, some difficulty ",1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,2 _ Not very much           ,Was promised relief but never received           ,Government plans unclear               ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,2 _ Somewhat yes           ,Safety at school (due to structure)      ,Health care,4-Mostly yes,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,1-Completely yes        ,Personal loan (informal)               ,Availability of financial support                                      ,2 _ Not very much           ,Reconstruction advice/training             ,Livelihood options/training                                          
Kathmandu,Goldhunga,5,25-39,female,Newar,,Others,House wife,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Livelihoods,1 _ Not at all        ,Was promised relief but never received           ,Not included in distributions                ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,2 _ Somewhat yes           ,Safety at school (due to structure)      ,Health care,1 _ Not at all        ,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,1-Completely yes        ,Government loan         ,Availability of financial support                                      ,1 _ Not at all        ,Reconstruction advice/training             ,Reduce risk of future disasters                                    
Kathmandu,Jhormahankal,5,25-39,female,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,5 _ Completely yes         ,,,3 _ Neutral          ,Was promised relief but never received           ,Not included in distributions                ,3 _ Neutral           ,"First come, first served                      ",Joint families ,4-Mostly yes,,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government grant        ,Building requirements released by government           ,4 _ Somewhat yes           ,,
Kathmandu,Bajrayogini,8,40-54,male,Brahmin,,NGO worker/Business,,No difficulty ,2 _ Not very much,Long-term shelter (housing)        ,Financial support             ,Healthcare,2 _ Not very much           ,Renters excluded from distribution                ,Was promised relief but never received           ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,4-Not very much,,,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Bajrayogini,8,25-39,male,Chhetri,,Others,student,No difficulty ,4_ Mostly yes,,,,2 _ Not very much           ,Relief distributed based on distance from road ,"Relief distributed based on first come, first served                ",4_Mostly yes,,,2 _ Not very much           ,Relief distributed based on distance from road ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,4-Mostly yes,,2 _ Somewhat yes           ,Health care,Improper school winterization                                                   ,1 _ Not at all        ,5 _ Not at all         ,,2-Somewhat yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Dharmasthali,1,55+,female,Newar,,Skilled worker (i.e. carpenter),,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Livelihoods,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,4-Mostly yes,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,Reconstruction advice/training             ,Repair/reconstruction of community buildings        
Kathmandu,Sitapaila,8,55+,female,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,4-Mostly yes,,2 _ Somewhat yes           ,Safety at school (due to structure)      ,Health care,1 _ Not at all        ,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Sitapaila,8,55+,female,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,4-Mostly yes,,2 _ Somewhat yes           ,Safety at school (due to structure)      ,Health care,1 _ Not at all        ,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Goldhunga,5,40-54,female,Newar,,Others,House wife,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,1 _ Not at all        ,Was promised relief but never received           ,Relief distributed based on political parties     ,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,Based on distance from the main road            ,"First come, first served                      ",1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,2 _ Not very much           ,5 _ Not at all         ,,1-Completely yes,1-Completely yes        ,Personal loan (informal)               ,Availability of financial support                                      ,1 _ Not at all        ,Reconstruction advice/training             ,Reduce risk of future disasters                                    
Kathmandu,Dharmasthali,1,15-24,female,Newar,,"Government (i.e. teacher, health worker, army)                                 ",,No difficulty ,4_ Mostly yes,,,,1 _ Not at all        ,Was promised relief but never received           ,Renters excluded from distribution                ,5 _ Completely yes         ,,,5 _ Completely yes         ,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,2 _ Somewhat yes           ,Health care,Safety at home (due to structure)         ,4-Mostly yes,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,Reconstruction advice/training             ,Reduce risk of future disasters                                    
Kathmandu,Dharmasthali,1,15-24,female,Newar,,Others,House wife,"Yes, some difficulty ",2 _ Not very much,Long-term shelter (housing)        ,Financial support             ,Healthcare,2 _ Not very much           ,Was promised relief but never received           ,Renters excluded from distribution                ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,2 _ Somewhat yes           ,Health care,Safety at home (due to structure)         ,2 _ Not very much           ,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,1-Completely yes        ,Government loan         ,Availability of financial support                                      ,2 _ Not very much           ,Reconstruction advice/training             ,Reduce risk of future disasters                                    
Kathmandu,Goldhunga,5,25-39,female,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Financial support             ,Livelihoods,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,2 _ Somewhat yes           ,Health care,Improper school winterization                                                   ,2 _ Not very much           ,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Availability of financial support                                      ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Sitapaila,8,15-24,female,Chhetri,,Others,student,"Yes, some difficulty ",1 _ Not at all        ,Housing inspections,Healthcare,Livelihoods,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,1 _ Not at all        ,4 _ Not very much        ,,3-Neutral,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Jhormahankal,5,25-39,female,Others,bidari,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,3 _ Neutral           ,Based on distance from the main road            ,Based on distance from the main road            ,3 _ Neutral           ,Not enough fuel                             ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,5-Not at all,,,4 _ Somewhat yes           ,,
Kathmandu,Dharmasthali,1,40-54,male,Newar,,Skilled worker (i.e. carpenter),,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Livelihoods,1 _ Not at all        ,Not included in distributions                ,Government plans unclear               ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,4-Mostly yes,2 _ Somewhat yes           ,Community members         ,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,Reconstruction advice/training             ,Livelihood options/training                                          
Kathmandu,Sitapaila,8,25-39,male,Newar,,NGO worker/Business,,"Yes, some difficulty ",2 _ Not very much,Housing inspections,Healthcare,Psychosocial counseling,2 _ Not very much           ,Was promised relief but never received           ,Do not trust government                     ,4_Mostly yes,,,2 _ Not very much           ,Was promised relief but never received           ,Relief distributed based on severe damage                             ,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,4-Mostly yes,,5 _ Not at all         ,,,1 _ Not at all        ,4 _ Not very much        ,,2-Somewhat yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Sitapaila,8,25-39,female,Brahmin,,NGO worker/Business,,"Yes, some difficulty ",2 _ Not very much,Housing inspections,Psychosocial counseling,Healthcare,2 _ Not very much           ,Was promised relief but never received           ,Relief distributed based on severe damage                             ,4_Mostly yes,,,2 _ Not very much           ,Relief distributed based on severe damage                             ,Was promised relief but never received           ,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,4-Mostly yes,,4 _ Not very much        ,,,1 _ Not at all        ,4 _ Not very much        ,,2-Somewhat yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Jhormahankal,2,25-39,female,Newar,,Farmer/laborer,,No difficulty ,2 _ Not very much,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,1 _ Not at all        ,Reconstruction process taking too long                                   ,Was promised relief but never received           ,4_Mostly yes,,,3 _ Neutral          ,Was promised relief but never received           ,"Relief distributed based on first come, first served                ",3 _ Neutral           ,Based on caste system     ,Joint families ,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,4-Mostly yes,5 _ Not at all         ,,1-Completely yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,4 _ Somewhat yes           ,,
Kathmandu,Satungal,1,40-54,female,Newar,,Others,House wife,"Yes, some difficulty ",1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Livelihoods,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,2 _ Somewhat yes           ,Safety at school (due to structure)      ,Health care,1 _ Not at all        ,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Reconstruction advice/training             ,Repair/reconstruction of community buildings        
Kathmandu,Jhormahankal,2,40-54,female,Brahmin,,Others,House wife,No difficulty ,2 _ Not very much,Long-term shelter (housing)        ,Clean water,Financial support,3 _ Neutral          ,Reconstruction process taking too long                                   ,Relief distributed based on distance from road ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,2-Somewhat yes,Government grant        ,Availability of financial support                                      ,4 _ Somewhat yes           ,,
Kathmandu,Satungal,1,25-39,male,Janajati,,Others,student,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,4 _ Not very much        ,,,4-Mostly yes,4 _ Not very much        ,,1-Completely yes,4-Not very much,,,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Jhormahankal,2,25-39,male,Newar,,NGO worker/Business,,No difficulty ,2 _ Not very much,Short-term shelter (tent/shelterbox)   ,Clean water,Healthcare,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,1 _ Not at all        ,5 _ Not at all         ,,1-Completely yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of schools         ,Reconstruction advice/training             
Kathmandu,Jhormahankal,2,40-54,male,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Others,Long-term shelter (housing)                ,Short-term shelter (tent/shelterbox)         ,1 _ Not at all        ,Was promised relief but never received           ,Reconstruction process taking too long                                   ,5 _ Completely yes         ,,,1 _ Not at all        ,Not included in distributions                ,NGOs do not listen to my concerns                               ,1 _ Not at all        ,Joint families,Based on caste system      ,2 _ Not very much           ,Not enough blankets                                         ,4 _ Not very much        ,,,5 _ Completely yes         ,5 _ Not at all         ,,1-Completely yes,1-Completely yes        ,Government loan         ,Building requirements released by government           ,4 _ Somewhat yes           ,,
Kathmandu,Jhormahankal,2,40-54,female,Brahmin,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,Based on distance from the main road            ,"First come, first served                      ",3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,1-Completely yes,4-Not very much,,,4 _ Somewhat yes           ,,
Kathmandu,Satungal,1,55+,female,Newar,,Farmer/laborer,,"Yes, some difficulty ",1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,1 _ Not at all        ,Was promised relief but never received           ,Government plans unclear               ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,2-Somewhat yes,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Improved irrigation,Reconstruction advice/training             
Kathmandu,Satungal,1,40-54,female,Newar,,Others,House wife,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,4 _ Not very much        ,,,1 _ Not at all        ,5 _ Not at all         ,,3-Neutral,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Reconstruction advice/training             ,Repair/reconstruction of community buildings        
Kathmandu,Satungal,1,40-54,female,Newar,,Others,House wife,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,4 _ Not very much        ,,,1 _ Not at all        ,5 _ Not at all         ,,3-Neutral,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Reconstruction advice/training             ,Repair/reconstruction of community buildings        
Kathmandu,Satungal,3,25-39,female,Newar,,Others,House wife,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Livelihoods,2 _ Not very much           ,Was promised relief but never received           ,Was promised relief but never received           ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,1 _ Not at all        ,5 _ Not at all         ,,5-Not at all,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Satungal,3,55+,male,Newar,,NGO worker/Business,,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Psychosocial counseling,1 _ Not at all        ,Was promised relief but never received           ,Reconstruction process taking too long                                   ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Satungal,3,15-24,female,Newar,,Others,student,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal savings                            ,Gathering enough resources to rebuild entire house at once                   ,4 _ Somewhat yes           ,,
Kathmandu,Satungal,3,40-54,male,Newar,,Skilled worker (i.e. carpenter),,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,Was promised relief but never received           ,Reconstruction process taking too long                                   ,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,2 _ Not very much           ,Not enough fuel                             ,4 _ Not very much        ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Satungal,3,55+,male,Newar,,NGO worker/Business,,No difficulty ,2 _ Not very much,Long-term shelter (housing)        ,Financial support             ,Livelihoods,2 _ Not very much           ,Canêt get to distribution sites,Not included in distributions                ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,3-Neutral,1-Completely yes        ,Personal savings                            ,Gathering enough resources to rebuild entire house at once                   ,4 _ Somewhat yes           ,,
Kathmandu,Matatirtha,6,25-39,male,Newar,,NGO worker/Business,,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,2 _ Not very much           ,Was promised relief but never received           ,Government plans unclear               ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,House/Shelter will not protect against cold   ,4 _ Not very much        ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Kathmandu,Matatirtha,6,25-39,female,Brahmin,,Others,House wife,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,2-Somewhat yes,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,4 _ Somewhat yes           ,,
Kathmandu,Matatirtha,6,40-54,female,Brahmin,,Others,House wife,No difficulty ,1 _ Not at all        ,Long-term shelter (housing)        ,Financial support             ,Healthcare,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,4-Mostly yes,,5 _ Not at all         ,,,2 _ Not very much           ,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Personal loan (financial institution)                   ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
